sid	SRS014629	SRS017520	SRS052756	SRS020349	SRS021969	SRS019379	SRS016191	SRS011584	SRS022158	SRS019989	SRS023850	SRS017700	SRS018769	SRS019600	SRS049237	SRS056695	SRS042858	SRS016111	SRS052620	SRS047335	SRS044742	SRS024068	SRS051505	SRS013542	SRS077751	SRS015168	SRS042428	SRS055298	SRS063417	SRS062520	SRS015425	SRS012294	SRS014494	SRS016559	SRS064376	SRS064704	SRS024428	SRS052330	SRS057807	SRS050184	SRS016516	SRS017497	SRS065347	SRS015073	SRS022734	SRS011355	SRS054962	SRS015054	SRS011269	SRS022092	SRS015225
k__Bacteria	100.0	100.0	100.0	99.99965	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99934	100.0	99.99965	99.99917	100.0	100.0	100.0	100.0	100.0	99.98637	100.0	100.0	100.0	99.99942	100.0	100.0	100.0	100.0	99.98966	100.0	99.99664	100.0	100.0	99.99896	100.0	99.99976	100.0	100.0
k__Bacteria|p__Firmicutes	99.57749	99.31239	98.68811	99.13874	99.52989	97.37876	99.36611	99.02384	98.45897	98.36131	69.51867	99.50707	99.04458	99.32606	96.61142	99.39114	99.59812	99.34578	58.21038	99.76911	95.30334	88.89101	80.81883	2.96825	99.62156	99.18919	99.65634	96.75481	98.21991	99.83031	99.43514	99.60615	93.87061	99.66984	98.96599	99.51223	66.0308	99.82128	99.40675	98.41521	99.6345	1.69226	99.35906	97.94099	95.72421	99.5446	98.37468	98.46576	88.5512	99.58133	98.97414
k__Bacteria|p__Firmicutes|c__Bacilli	99.56105	99.28696	98.64321	99.06911	99.50947	97.3714	99.29544	98.97957	98.45297	98.3121	67.5814	99.49211	98.816	99.27975	96.54073	99.36779	99.58139	99.33831	58.19295	99.60698	94.93587	88.75364	79.82751	1.33052	99.62156	99.0281	99.64914	96.55037	98.19714	99.74937	99.43127	99.59171	91.68794	99.66702	98.89079	99.48027	65.99892	99.60409	99.39681	98.34551	99.6285	0.12613	99.34539	97.75331	95.66905	99.51504	98.33931	98.44907	88.15009	99.57549	98.77914
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	99.55797	99.17612	98.63896	99.06584	99.49778	97.3714	99.28306	98.96773	98.44747	98.309	67.54738	99.4908	98.80555	99.27809	96.53983	99.36385	99.5761	99.33831	58.18727	99.60577	94.93587	88.75197	79.80851	1.32288	99.62	99.0281	99.64126	96.53853	98.19714	99.73194	99.42901	99.57979	91.67425	99.65878	98.88163	99.44225	65.99506	99.56845	99.38981	98.31804	99.62579	0.11905	99.3269	97.75036	95.66905	99.51005	97.99388	98.44065	88.1455	99.55486	98.77485
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	99.41447	99.03616	98.6193	98.86964	99.49618	97.36671	99.05579	98.92306	98.44648	98.15805	66.62475	99.3184	98.57759	99.24973	96.5382	99.3615	99.51806	99.32413	58.16653	99.60496	94.93587	88.75197	79.76859	1.30382	99.60439	98.85488	99.62945	96.44223	98.19714	99.69615	99.37373	99.57751	91.58376	99.64741	98.76456	99.36129	65.99256	99.26101	99.1896	98.24468	99.62342	0.11821	99.19786	97.72095	95.66512	99.3945	97.91555	98.25126	87.62017	99.55328	98.77485
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	99.41447	99.03616	98.6193	98.86964	99.49618	97.36671	99.05579	98.92306	98.44648	98.15805	66.62475	99.31834	98.57759	99.24973	96.5382	99.3615	99.51806	99.32413	58.16653	99.60448	94.93302	88.75197	79.76859	1.30382	99.60439	98.85451	99.62945	96.44017	98.19714	99.69615	99.36315	99.57751	91.58376	99.64741	98.75298	99.36129	65.99256	99.26101	99.1896	98.24304	99.62342	0.11821	99.19786	97.71931	95.66512	99.39439	97.91533	98.25126	87.62017	99.55328	98.772
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus	0.00103	96.48087	0.0	97.91244	93.41361	0.00166	97.5387	0.00265	91.88281	96.46485	0.02223	97.97382	97.42745	98.4752	57.16445	97.28331	98.93335	0.0	0.0	7e-05	56.12606	0.00075	25.74839	0.00039	98.94023	96.71304	0.0	0.0	0.0	0.00147	98.32266	0.0	66.13987	99.03356	97.02458	0.0032	0.00058	0.0	97.72286	0.00299	98.82101	0.0	94.31507	28.99315	0.0	98.41219	0.14478	94.48117	0.00361	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners	0.03269	0.00214	98.61072	0.0	4.8993	0.0	0.04136	0.05182	0.03606	0.00095	0.0	0.0003	0.13397	0.0	36.04819	0.00154	0.00222	99.20784	0.0	88.46196	34.92499	0.05625	51.02772	1.3004	0.0	0.92869	71.36836	93.70737	0.04301	0.0	0.0	0.05762	19.00716	0.0	0.00091	61.76905	0.00212	0.0218	0.00021	69.06221	0.0	0.11251	0.00033	67.89056	0.0	0.12684	97.14106	0.00329	0.05368	0.04723	89.23142
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_jensenii	99.27222	1.6483	0.0	0.00078	0.0	0.00158	0.47112	98.79387	5.17682	0.82487	0.00704	0.35147	0.00239	0.0	1.7927	1.08201	0.00074	0.00127	0.00228	1.46542	2.51224	88.64294	2.36829	0.0	0.0	0.27795	28.24733	1.24778	97.82812	0.0	0.0002	99.48268	5.87479	0.00073	0.0	37.56247	0.0	97.81235	0.58703	28.31256	0.0	0.0	3.75359	0.37462	0.00577	0.10497	0.48607	2.90319	83.57164	99.45598	7.67155
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri	0.0	0.0	0.0	0.0	0.00217	97.23356	0.04359	0.0	0.58988	0.03539	63.19859	0.00063	0.0	0.0	0.0	0.0	0.00038	0.06615	58.09734	9.43534	0.05459	0.0	0.03047	0.0	0.0	0.03448	0.0	0.0	0.0	99.61607	0.03135	0.00181	0.04792	0.0	0.02668	0.00642	65.83337	0.0	0.00124	0.0	0.0	0.0	0.0	0.0	95.58664	0.00547	0.00035	0.00041	3.28201	0.0	1.70558
